Key,Value
dataset_info.name,airfoil
dataset_info.n_samples,1503
dataset_info.n_features,5
model_parameters.beta,1.0
model_parameters.delta,5.676799651801081
model_parameters.sigma,4.2206688860974575
model_parameters.max_iter,50
model_parameters.tol,1e-06
training_results.n_iterations,6
training_results.final_loss,15568.625988139083
training_results.loss_history,"[15584.161743738294, 15569.154972216245, 15568.573561417266, 15568.600567411318, 15568.619835973837, 15568.625988139083]"
training_results.rmse,4.8229046455047655
training_results.mae,3.681452430503418
training_results.coefficients,"[-4.459400312788614, -2.3644138137069906, -3.4777836199658707, 1.545129480993779, -2.295015004500992]"
training_results.intercept,-0.0001478304705289378
